"TIMESTAMP","RECORD","Batt_Volt_Min","PTemp","FTPRes_Campo","FTPRes_Inst"
"2019-05-02 10:20:00",7765,13.63,25.22,-1,-1
"2019-05-02 10:30:00",7766,13.57,24.54,-1,-1
"2019-05-02 10:40:00",7767,14.57,24.75,-2,-2
"2019-05-02 10:50:00",7768,14.56,24.87,-2,-2
"2019-05-02 11:00:00",7769,14.47,24.89,-2,-2
"2019-05-02 11:10:00",7770,14.55,24.87,-1,-1
"2019-05-02 11:20:00",7771,14.56,24.66,-1,-1
"2019-05-02 11:30:00",7772,14.55,24.51,-1,-1
"2019-05-02 11:40:00",7773,14.53,24.39,-2,-2
"2019-05-02 11:50:00",7774,14.5,24.3,-2,-2
"2019-05-02 12:00:00",7775,14.49,24.13,-2,-2
"2019-05-02 12:10:00",7776,14.51,23.99,-1,-1
"2019-05-02 12:20:00",7777,14.5,23.93,-1,-1
"2019-05-02 12:30:00",7778,14.51,23.93,-1,-1
"2019-05-02 12:40:00",7779,13.91,23.93,-2,-2
"2019-05-02 12:50:00",7780,13.99,24.01,-2,-2
"2019-05-02 13:00:00",7781,13.79,24.3,-2,-2
"2019-05-02 13:10:00",7782,13.97,24.66,-1,-1
"2019-05-02 13:20:00",7783,13.99,24.98,-1,-1
"2019-05-02 13:30:00",7784,13.98,25.34,-1,-1
"2019-05-02 13:40:00",7785,13.99,25.7,-2,-2
"2019-05-02 13:50:00",7786,13.86,26.04,-2,-2
"2019-05-02 14:00:00",7787,13.98,26.37,-2,-2
"2019-05-02 14:10:00",7788,14,26.72,-1,-1
"2019-05-02 14:20:00",7789,14,26.72,-1,-1
"2019-05-02 14:30:00",7790,13.98,26.9,-1,-1
"2019-05-02 14:40:00",7791,13.95,27.28,-2,-2
"2019-05-02 14:50:00",7792,13.97,27.4,-2,-2
"2019-05-02 15:00:00",7793,14.01,26.9,-2,-2
"2019-05-02 15:10:00",7794,14.06,26.37,-1,-1
"2019-05-02 15:20:00",7795,14.02,26.16,-1,-1
"2019-05-02 15:30:00",7796,14.02,25.98,-1,-1
"2019-05-02 15:40:00",7797,14.03,25.67,-2,-2
"2019-05-02 15:50:00",7798,13.95,25.34,-2,-2
"2019-05-02 16:00:00",7799,14.05,24.87,-2,-2
"2019-05-02 16:10:00",7800,14.07,24.39,-1,-1
"2019-05-02 16:20:00",7801,14.13,23.99,-1,-1
"2019-05-02 16:30:00",7802,14.1,23.7,-1,-1
"2019-05-02 16:40:00",7803,14,23.67,-2,-2
"2019-05-02 16:50:00",7804,14.08,23.75,-2,-2
"2019-05-02 17:00:00",7805,13.55,23.93,-2,-2
"2019-05-02 17:10:00",7806,13.18,23.72,-1,-1
"2019-05-02 17:20:00",7807,13.23,23.29,-1,-1
"2019-05-02 17:30:00",7808,13.34,23.04,-1,-1
"2019-05-02 17:40:00",7809,13.11,22.67,-2,-2
"2019-05-02 17:50:00",7810,13.1,22.31,-2,-2
"2019-05-02 18:00:00",7811,13.18,22.14,-2,-2
"2019-05-02 18:10:00",7812,13.08,21.86,-1,-1
"2019-05-02 18:20:00",7813,13.02,21.56,-1,-1
"2019-05-02 18:30:00",7814,12.93,21.23,-1,-1
"2019-05-02 18:40:00",7815,12.84,20.85,-2,-2
"2019-05-02 18:50:00",7816,12.72,20.53,-2,-2
"2019-05-02 19:00:00",7817,12.83,20.31,-2,-2
"2019-05-02 19:10:00",7818,12.82,20.21,-1,-1
"2019-05-02 19:20:00",7819,12.81,20.13,-1,-1
"2019-05-02 19:30:00",7820,12.79,20.05,-1,-1
"2019-05-02 19:40:00",7821,12.69,19.94,-2,-2
"2019-05-02 19:50:00",7822,12.74,19.73,-2,-2
"2019-05-02 20:00:00",7823,12.62,19.47,-2,-2
"2019-05-02 20:10:00",7824,12.64,19.13,-1,-1
"2019-05-02 20:20:00",7825,12.7,18.66,-1,-1
"2019-05-02 20:30:00",7826,12.69,18.17,-1,-1
"2019-05-02 20:40:00",7827,12.67,17.66,-2,-2
"2019-05-02 20:50:00",7828,12.66,17.21,-2,-2
"2019-05-02 21:00:00",7829,12.54,16.76,-2,-2
"2019-05-02 21:10:00",7830,12.65,16.32,-1,-1
"2019-05-02 21:20:00",7831,12.66,15.87,-1,-1
"2019-05-02 21:30:00",7832,12.65,15.51,-1,-1
"2019-05-02 21:40:00",7833,12.64,15.14,-2,-2
"2019-05-02 21:50:00",7834,12.64,14.8,-2,-2
"2019-05-02 22:00:00",7835,12.63,14.44,-2,-2
"2019-05-02 22:10:00",7836,12.63,14.13,-1,-1
"2019-05-02 22:20:00",7837,12.63,13.8,-1,-1
"2019-05-02 22:30:00",7838,12.63,13.47,-1,-1
"2019-05-02 22:40:00",7839,12.61,13.16,-2,-2
"2019-05-02 22:50:00",7840,12.6,12.84,-2,-2
"2019-05-02 23:00:00",7841,12.51,12.53,-2,-2
"2019-05-02 23:10:00",7842,12.6,12.26,-1,-1
"2019-05-02 23:20:00",7843,12.6,12.02,-1,-1
"2019-05-02 23:30:00",7844,12.59,11.86,-1,-1
"2019-05-02 23:40:00",7845,12.58,11.77,-2,-2
